Bom Preço Supermercados;16/08/2019;17/08/2019;Alho Granel;1kg;14.99
Bom Preço Supermercados;16/08/2019;17/08/2019;Pimenta Americana;1kg;2.99
Bom Preço Supermercados;16/08/2019;17/08/2019;Tomate Italiano;1kg;2.49
Bom Preço Supermercados;16/08/2019;17/08/2019;Repolho Verde;1kg;1.79
Bom Preço Supermercados;16/08/2019;17/08/2019;Maçã Star Wars PCT;1kg;4.99
Bom Preço Supermercados;16/08/2019;17/08/2019;Maracujá Azedo;1kg;5.99
Bom Preço Supermercados;16/08/2019;17/08/2019;Melão Rei;1kg;5.99
Bom Preço Supermercados;16/08/2019;17/08/2019;Laranja;1kg;1.34
Bom Preço Supermercados;16/08/2019;17/08/2019;Cenoura;1kg;2.58
Bom Preço Supermercados;16/08/2019;17/08/2019;Berinjela;1kg;1.77
Bom Preço Supermercados;16/08/2019;17/08/2019;Picanha Bovina Fatiada Vácuo;1kg;22.97
Bom Preço Supermercados;16/08/2019;17/08/2019;Costela Bovina Especial;1kg;11.96
Bom Preço Supermercados;16/08/2019;17/08/2019;Costela Bovina Tradicional;1kg;10.97
Bom Preço Supermercados;16/08/2019;17/08/2019;Coxão Duro Bovino;1kg;17.97
Bom Preço Supermercados;16/08/2019;17/08/2019;Ponta de Peito Bovina;1kg;13.98
Bom Preço Supermercados;16/08/2019;17/08/2019;Contra Filé Bife Bovino;1kg;24.88
Bom Preço Supermercados;16/08/2019;22/08/2019;Salsicha Frimesa;1kg;5.97
Bom Preço Supermercados;16/08/2019;22/08/2019;Linguiça Perdigão na Brasa;1kg;11.49
Bom Preço Supermercados;16/08/2019;22/08/2019;Peito de Frango Confina;1kg;6.49
Bom Preço Supermercados;16/08/2019;22/08/2019;Linguiça Calabresa Frimesa;1kg;12.97
Bom Preço Supermercados;16/08/2019;22/08/2019;Presunto Frimesa;1kg;17.70
Bom Preço Supermercados;16/08/2019;22/08/2019;Mortadela Ouro Perdigão;1kg;14.98
Bom Preço Supermercados;16/08/2019;22/08/2019;Linguiça Suína Perdigão;1kg;9.96
Bom Preço Supermercados;16/08/2019;22/08/2019;Mortadela Frimesa;500g;3.79
Bom Preço Supermercados;16/08/2019;22/08/2019;Margarina Qualy Tradicional;500g;4.99
Bom Preço Supermercados;16/08/2019;22/08/2019;Café Brasileiro;500g;6.98
Bom Preço Supermercados;16/08/2019;22/08/2019;Azeite Gallo Extra Virgem;500ml;16.90
Bom Preço Supermercados;16/08/2019;22/08/2019;Creme de Leite Frimesa;200g;2.59
Bom Preço Supermercados;16/08/2019;22/08/2019;Maionese Hellmann's Tradicional;500g;4.48
Bom Preço Supermercados;16/08/2019;22/08/2019;Feijão Empório São João Carioca;1kg;4.69
Bom Preço Supermercados;16/08/2019;22/08/2019;Feijão Empório São João Carioca;2kg;9.38
Bom Preço Supermercados;16/08/2019;22/08/2019;Leite Lider Longa Vida;1l;2.59
Bom Preço Supermercados;16/08/2019;22/08/2019;Farinha de Trigo Nita;1kg;2.87
Bom Preço Supermercados;16/08/2019;22/08/2019;Gás de Cozinha Botijão;1kg;69.00
