Pelachim;23/05/2019;24/05/2019;Paleta Suína Pururuca;1kg;3.89
Pelachim;23/05/2019;24/05/2019;Pernil Suíno Pururuca;1kg;4.59
Pelachim;23/05/2019;24/05/2019;Bisteca Suína;1kg;7.99
Pelachim;23/05/2019;24/05/2019;Panceta Suína Pururuca;1kg;9.98
Pelachim;23/05/2019;24/05/2019;Contrafilé Bovino Bife;1kg;23.89
Pelachim;23/05/2019;24/05/2019;Alcatra Bovina Bife;1kg;23.78
Pelachim;23/05/2019;24/05/2019;Costela Bovina Tradicional;1kg;10.79
Pelachim;23/05/2019;24/05/2019;Capa do Contrafilé (vácuo);1kg;13.88
Pelachim;23/05/2019;24/05/2019;Acém Bovino;1kg;13.39
Pelachim;23/05/2019;24/05/2019;Costelão Bovino Especial Churrasco;1kg;11.76
Pelachim;23/05/2019;24/05/2019;Figado Bovino;1kg;6.45
Pelachim;23/05/2019;24/05/2019;Fraldão Bovino P/Churrasco;1kg;17.98
Pelachim;23/05/2019;24/05/2019;Linguiça Toscana Pelachim;1kg;8.69
Pelachim;23/05/2019;24/05/2019;Peito de Frango Nutribem;1kg;4.79
Pelachim;23/05/2019;24/05/2019;Pão de Queijo Aurora;400g;5.19
Pelachim;23/05/2019;24/05/2019;Hamburguer Estrela;56g;0.48
Pelachim;23/05/2019;24/05/2019;Presunto Sadia Tradicional;100g;2.38
Pelachim;23/05/2019;24/05/2019;Banana Nanica;1kg;1.19
Pelachim;23/05/2019;24/05/2019;Cenoura;1kg;1.25
Pelachim;23/05/2019;24/05/2019;Mamão Formosa;1kg;1.59
Pelachim;23/05/2019;24/05/2019;Chuchu;1kg;1.39
Pelachim;23/05/2019;24/05/2019;Pimentão Verde;1kg;2.79
Pelachim;23/05/2019;24/05/2019;Limão Taiti;1kg;2.59
Pelachim;23/05/2019;24/05/2019;Berinjela;1kg;1.55
Pelachim;23/05/2019;24/05/2019;Poncã;1kg;1.68
Pelachim;23/05/2019;24/05/2019;Repolho Verde;1kg;1.99
Pelachim;23/05/2019;24/05/2019;Batata Doce Roxa;1kg;1.68
Pelachim;23/05/2019;24/05/2019;Pepino Japonês;1kg;1.28
Pelachim;23/05/2019;24/05/2019;Goiaba Vermelha Extra;1kg;3.78
